Issues found: 489
Row 183: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 184: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 185: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 186: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 187: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 188: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 189: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 190: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 191: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 192: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 193: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 194: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 195: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 196: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 197: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 198: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 199: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 200: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 201: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 202: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 203: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 204: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 205: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 206: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 207: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 208: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 209: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 210: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 211: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 212: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 213: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 214: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 215: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 216: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 217: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 218: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 219: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 220: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 221: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 222: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 223: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 224: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 225: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 226: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 227: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 228: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 229: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 230: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 231: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 232: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 233: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 234: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 235: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 236: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 237: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 238: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 239: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 240: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 241: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 242: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 243: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 244: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 245: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 246: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 247: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 248: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 249: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 250: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 251: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 252: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 253: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 254: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 255: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 256: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 257: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 258: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 259: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 260: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 261: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 262: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 263: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
